negative,positive,negative_swn,positive_swn,Date,Price
0,0,0,0,2000,64.5625
0,0,0,0,2003,21.85
0,0,0,0,2004,50.400002
0.534186277,0.846214285,0,1,2005,43.220001
0.526354291,0.83086543,0.185222848,0,2006,44.82
0.785260215,0.876927851,0.491386769,0,2007,37.669998
0.92671472,0.931350319,0.56054042,0.315164051,2008,77.699997
0.982557828,0.973697368,0.999729693,1,2009,58.82
0.851439336,0.929774096,0.989949494,1,2010,125.410004
0.386957348,0.66267584,0,1,2011,169.639999
0.380736518,0.814049898,0.086629616,1,2012,194.440002
0.929063514,0.91059689,0.881343419,0.256763736,2013,265.5
0.933426085,0.929890003,0.913222849,0.256763736,2014,358.690002
0.939041322,0.892414601,0.844555833,0,2015,354.529999
0.931558533,0.964532732,0.942056138,0.928954546,2016,587
